ESCUELA DE POSGRADOS AGRONOMIA BOGOTA;85
ESCUELA INTERDISCIPLINARIA DE POSGRADOS ARTES BOGOTA;86
INSTITUTO DE CIENCIAS NATURALES BOGOTA;87
INSTITUTO DE ESTUDIOS URBANOS;88
INSTITUTO DE INVESTIGACIONES ESTETICAS;89
OBSERVATORIO ASTRONOMICO CIENCIAS BOGOTA;90
DEPARTAMENTO DE INGENIERIA INDUSTRIAL;92
DEPARTAMENTO DE INGENERIA ELECTRICA, ELECTRONICA Y COMPUTACION;93
CENTRO DE ESTUDIOS SOCIALES - CES BOGOTA;94
ESCUELA DE ARQUITECTURA Y URBANISMO ARTES BOGOTA;96
DEPARTAMENTO DE CIENCIAS HUMANAS;99
DEPARTAMENTO DE INFORMATICA Y COMPUTACION;100
DEPARTAMENTO DE MEDICINA INTERNA;111
SEDE LETICIA;112
ESCUELA DE ESTADISTICA;113
ESCUELA DE MATEMATICAS;116
DEPARTAMENTO DE INGENIERÍA AGRÍCOLA Y ALIMENTOS;117
DEPARTAMENTO DE CIENCIAS FORESTALES;119
DEPARTAMENTO DE ECONOMÍA;121
DEPARTAMENTO DE INGENIERÍA DE LA ORGANIZACIÓN;123
DEPARTAMENTO DE GEOCIENCIAS Y MEDIO AMBIENTE;124
DEPARTAMENTO DE INGENIERÍA CIVIL;125
DEPARTAMENTO DE ENERGÍA ELÉCTRICA Y AUTOMÁTICA;126
DEPARTAMENTO DE PROCESOS Y ENERGÍA;128
DEPARTAMENTO DE CIENCIAS DE LA COMPUTACIÓN Y DE LA DECISIÓN;129
DEPARTAMENTO DE INGENIERÍA MECÁNICA;130
DEPARTAMENTO DE CIENCIAS BASICAS Y MEDICINA ORAL;133
DEPARTAMENTO DE MEDICINA ORAL Y CIRUGIA;134
DEPARTAMENTO DE DESARROLLO RURAL - CIENCIAS AGRARIAS;135
SEDE SAN ANDRES;137
DEPARTAMENTO DE ENFERMERIA;138
DEPARTAMENTO DE ESTUDIOS FILOSÓFICOS Y CULTURALES;149
Departamento de Ciencias Básicas;152
SEDE TUMACO;153
ESCUELA DE PREGRADO LA PAZ;154
SEDE ARAUCA;155
INSTITUTO DE EDUCACIÓN EN INGENIERÍA;156
DIRECCION ACADEMICA;157
SEDE LA PAZ;158
CENTRO DE IDIOMAS;159
DEPARTAMENTO DE CIENCIAS AGRÍCOLAS; 106
DEPARTAMENTO DE FISICA Y QUIMICA; 98
SEDE MANIZALES; 160
ESCUELA DE QUIMICA;143
DEPARTAMENTO DE DISEÑO;103
DEPARTAMENTO DE CIENCIAS AGRONÓMICAS;118
