INSTITUTO DE ESTUDIOS EN COMUNICACIONES - IECO BOGOTA;27
INSTITUTO DE ESTUDIOS POLITICOS Y RELACIONES INTERNACIONALES BOGOTA;29
INSTITUTO DE ESTUDIOS URBANOS;172
INSTITUTO DE GENETICA BOGOTA;25
INSTITUTO DE INVESTIGACION EN EDUCACION C. HUMANAS BOGOTA;40
INSTITUTO DE INVESTIGACIONES BIOMEDICAS MEDICINA BOGOTA;38
INSTITUTO DE INVESTIGACIONES CLINICAS MEDICINA BOGOTA;173
INSTITUTO DE INVESTIGACIONES ESTETICAS;174
OBSERVATORIO ASTRONOMICO CIENCIAS BOGOTA;177
SEDE BOGOTA;28
ALMACEN MECATRONICA;186
COORDINACION DE LABORATORIOS;186
CURRICULAR INGENIERÍA DE SISTEMAS;103
DECANATURA;37
DEPARTAMENTO DE INGENIERÍA CIVIL;101
DEPARTAMENTO DE INGENIERÍA ELÉCTRICA Y ELECTRÓNICA;104
DEPARTAMENTO DE INGENIERÍA QUIMICA Y AMBIENTAL;109
DEPARTAMENTO DE SISTEMAS E INDUSTRIAL;103
DIRECCIÓN DE BIENESTAR FACULTAD DE INGENIERIA;185
DIRECCION IEI;39
INGENIERIA CIVIL Y AGRÍCOLA;101
LABORATORIO AGRÍCOLA;186
LABORATORIO AMBIENTAL IEI;186
LABORATORIO DE AUTOMATIZACION;186
LABORATORIO DE CATALISIS;186
LABORATORIO DE CEMENTOS IEI;186
LABORATORIO DE DISEÑO DE MAQUINAS;186
LABORATORIO DE ENSAYOS HIDRÁULICOS;186
LABORATORIO DE ESTRUCTURAS IEI;186
LABORATORIO DE FUNDICION;186
LABORATORIO DE GEOTECNIA IEI;186
LABORATORIO DE HIDRAULICA;186
LABORATORIO DE INGENIERIA AMBIENTAL;186
LABORATORIO DE LUBRICANTES;186
LABORATORIO DE MAQUINAS PESADAS;186
LABORATORIO DE MECATRONICA;186
LABORATORIO DE METALOGRAFIA;186
LABORATORIO DE METROLOGIA;186
LABORATORIO DE MOTORES;186
LABORATORIO DE QUIMICA;186
LABORATORIO DE SOLDADURA;186
LABORATORIO DE TERMODINAMICA;186
LABORATORIO DE TOPOGRAFIA;186
LABORATORIO DE TRANSMISION DE CALOR;186
LABORATORIO DE TRATAMIENTOS TERMICOS;186
LABORATORIO SALA CAM;186
MECÁNICA Y MECATRÓNICA;107
SALA DE COMPUTO;186
SALAS DE CIENCIA Y TECNOLOGIA;186
SECRETARÍA ACADÉMICA - INGENIERÍA;184
TALLER DE CARPINTERIA;186
TALLER DE MAQUINAS Y HERRAMIENTAS;186
UNIDAD ADMINISTRATIVA - INGENIERÍA;182
VICEDECANATURA ACADÉMICA;183
VICEDECANATURA DE INVESTIGACION;187
INSTITUTO DE EXTENSIÓN E INVESTIGACIÓN;39
DECANATURA FACULTAD DE INGENIERIA;37
VICEDECANATURA DE INVEST.  Y EXTENSION;187
AREA CURR. ING. CIVIL Y AGRICOLA;101
PROGRAMA DE EDUCACION CONTINUA - PEC;39
AREA CURR. ING. MECANICA Y MECATRONICA;107
MEJORAMIENTO DE PROCESOS;37
AREA CURR. ING. ELECTRICA Y ELECTRONICA;104
SECRETARIA ACADEMICA;184
TECNOLOGÍA MEDIOS Y COMUNICACIONES;186
AREA CURR. ING. SISTEMAS E INDUSTRIAL;103
AREA CURR. ING. QUMICA Y AMBIENTAL;109
PROGRAMA DE RELACIONES INTER -  PRI;194
